loc,length,bug type,approach
92,2,Unchecked-Send,code snippet injection
89,2,Unchecked-Send,code snippet injection
86,2,Unchecked-Send,code snippet injection
83,2,Unchecked-Send,code snippet injection
80,2,Unchecked-Send,code snippet injection
77,2,Unchecked-Send,code snippet injection
74,2,Unchecked-Send,code snippet injection
44,2,Unchecked-Send,code snippet injection
41,2,Unchecked-Send,code snippet injection
329,2,Unchecked-Send,code snippet injection
322,2,Unchecked-Send,code snippet injection
315,2,Unchecked-Send,code snippet injection
308,2,Unchecked-Send,code snippet injection
300,2,Unchecked-Send,code snippet injection
292,2,Unchecked-Send,code snippet injection
285,2,Unchecked-Send,code snippet injection
278,2,Unchecked-Send,code snippet injection
266,2,Unchecked-Send,code snippet injection
259,2,Unchecked-Send,code snippet injection
253,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
239,2,Unchecked-Send,code snippet injection
230,2,Unchecked-Send,code snippet injection
217,2,Unchecked-Send,code snippet injection
205,2,Unchecked-Send,code snippet injection
199,2,Unchecked-Send,code snippet injection
187,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
175,2,Unchecked-Send,code snippet injection
169,2,Unchecked-Send,code snippet injection
163,2,Unchecked-Send,code snippet injection
157,2,Unchecked-Send,code snippet injection
