loc,length,bug type,approach
855,2,Unchecked-Send,code snippet injection
852,2,Unchecked-Send,code snippet injection
849,2,Unchecked-Send,code snippet injection
761,2,Unchecked-Send,code snippet injection
758,2,Unchecked-Send,code snippet injection
28,2,Unchecked-Send,code snippet injection
25,2,Unchecked-Send,code snippet injection
22,2,Unchecked-Send,code snippet injection
1456,2,Unchecked-Send,code snippet injection
1438,2,Unchecked-Send,code snippet injection
1412,2,Unchecked-Send,code snippet injection
1396,2,Unchecked-Send,code snippet injection
1384,2,Unchecked-Send,code snippet injection
1369,2,Unchecked-Send,code snippet injection
1353,2,Unchecked-Send,code snippet injection
1345,2,Unchecked-Send,code snippet injection
1331,2,Unchecked-Send,code snippet injection
1324,2,Unchecked-Send,code snippet injection
1293,2,Unchecked-Send,code snippet injection
1267,2,Unchecked-Send,code snippet injection
1253,2,Unchecked-Send,code snippet injection
1243,2,Unchecked-Send,code snippet injection
1234,2,Unchecked-Send,code snippet injection
1224,2,Unchecked-Send,code snippet injection
1214,2,Unchecked-Send,code snippet injection
1130,2,Unchecked-Send,code snippet injection
1127,2,Unchecked-Send,code snippet injection
1124,2,Unchecked-Send,code snippet injection
1121,2,Unchecked-Send,code snippet injection
1118,2,Unchecked-Send,code snippet injection
1112,2,Unchecked-Send,code snippet injection
1103,2,Unchecked-Send,code snippet injection
