loc,length,bug type,approach
289,2,Unchecked-Send,code snippet injection
283,2,Unchecked-Send,code snippet injection
276,2,Unchecked-Send,code snippet injection
268,2,Unchecked-Send,code snippet injection
215,2,Unchecked-Send,code snippet injection
210,2,Unchecked-Send,code snippet injection
205,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
180,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
156,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
102,2,Unchecked-Send,code snippet injection
95,2,Unchecked-Send,code snippet injection
89,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
78,2,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
36,2,Unchecked-Send,code snippet injection
29,2,Unchecked-Send,code snippet injection
191,2,Unchecked-Send,code snippet injection
188,2,Unchecked-Send,code snippet injection
185,2,Unchecked-Send,code snippet injection
67,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
59,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
51,2,Unchecked-Send,code snippet injection
47,2,Unchecked-Send,code snippet injection
43,2,Unchecked-Send,code snippet injection
