loc,length,bug type,approach
1110,2,Unchecked-Send,code snippet injection
1103,2,Unchecked-Send,code snippet injection
1096,2,Unchecked-Send,code snippet injection
1089,2,Unchecked-Send,code snippet injection
1082,2,Unchecked-Send,code snippet injection
1074,2,Unchecked-Send,code snippet injection
1065,2,Unchecked-Send,code snippet injection
1062,2,Unchecked-Send,code snippet injection
1059,2,Unchecked-Send,code snippet injection
1052,2,Unchecked-Send,code snippet injection
1045,2,Unchecked-Send,code snippet injection
1038,2,Unchecked-Send,code snippet injection
1026,2,Unchecked-Send,code snippet injection
1022,2,Unchecked-Send,code snippet injection
1016,2,Unchecked-Send,code snippet injection
1013,2,Unchecked-Send,code snippet injection
1010,2,Unchecked-Send,code snippet injection
1007,2,Unchecked-Send,code snippet injection
1004,2,Unchecked-Send,code snippet injection
997,2,Unchecked-Send,code snippet injection
994,2,Unchecked-Send,code snippet injection
978,2,Unchecked-Send,code snippet injection
962,2,Unchecked-Send,code snippet injection
948,2,Unchecked-Send,code snippet injection
537,2,Unchecked-Send,code snippet injection
421,2,Unchecked-Send,code snippet injection
418,2,Unchecked-Send,code snippet injection
415,2,Unchecked-Send,code snippet injection
412,2,Unchecked-Send,code snippet injection
409,2,Unchecked-Send,code snippet injection
406,2,Unchecked-Send,code snippet injection
1920,2,Unchecked-Send,code snippet injection
