loc,length,bug type,approach
110,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
57,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
20,2,Unchecked-Send,code snippet injection
422,2,Unchecked-Send,code snippet injection
411,2,Unchecked-Send,code snippet injection
402,2,Unchecked-Send,code snippet injection
392,2,Unchecked-Send,code snippet injection
384,2,Unchecked-Send,code snippet injection
364,2,Unchecked-Send,code snippet injection
341,2,Unchecked-Send,code snippet injection
336,2,Unchecked-Send,code snippet injection
321,2,Unchecked-Send,code snippet injection
312,2,Unchecked-Send,code snippet injection
302,2,Unchecked-Send,code snippet injection
263,2,Unchecked-Send,code snippet injection
217,2,Unchecked-Send,code snippet injection
194,2,Unchecked-Send,code snippet injection
187,2,Unchecked-Send,code snippet injection
181,2,Unchecked-Send,code snippet injection
175,2,Unchecked-Send,code snippet injection
170,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
129,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
103,2,Unchecked-Send,code snippet injection
99,2,Unchecked-Send,code snippet injection
95,2,Unchecked-Send,code snippet injection
85,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
77,2,Unchecked-Send,code snippet injection
